"CIPCode2010","CIPTitle2010","Action","Text change","CIPCode2020","CIPTitle2020"
="01.0399","Agricultural Production Operations, Other.","No substantive changes",no,="01.0399","Agricultural Production Operations, Other."
="01.04","Agricultural and Food Products Processing.","No substantive changes",no,="01.04","Agricultural and Food Products Processing."
="01.0401","Agricultural and Food Products Processing.","No substantive changes",no,="01.0401","Agricultural and Food Products Processing."
"","","New",no,="01.0480","Reserved."
="01.05","Agricultural and Domestic Animal Services.","No substantive changes",no,="01.05","Agricultural and Domestic Animal Services."
="01.0504","Dog/Pet/Animal Grooming.","No substantive changes",no,="01.0504","Dog/Pet/Animal Grooming."
="01.0505","Animal Training.","No substantive changes",no,="01.0505","Animal Training."
="01.0507","Equestrian/Equine Studies.","No substantive changes",no,="01.0507","Equestrian/Equine Studies."
="01.0508","Taxidermy/Taxidermist.","No substantive changes",no,="01.0508","Taxidermy/Taxidermist."
"","","New",no,="01.0509","Farrier Science."
="01.0599","Agricultural and Domestic Animal Services, Other.","No substantive changes",no,="01.0599","Agricultural and Domestic Animal Services, Other."
="01.06","Applied Horticulture and Horticultural Business Services.","No substantive changes",no,="01.06","Applied Horticulture and Horticultural Business Services."
="01.0601","Applied Horticulture/Horticulture Operations, General.","No substantive changes",no,="01.0601","Applied Horticulture/Horticulture Operations, General."
="01.0603","Ornamental Horticulture.","No substantive changes",no,="01.0603","Ornamental Horticulture."
="01.0604","Greenhouse Operations and Management.","No substantive changes",no,="01.0604","Greenhouse Operations and Management."
="01.0605","Landscaping and Groundskeeping.","No substantive changes",no,="01.0605","Landscaping and Groundskeeping."
="01.0606","Plant Nursery Operations and Management.","No substantive changes",no,="01.0606","Plant Nursery Operations and Management."
="01.0607","Turf and Turfgrass Management.","No substantive changes",no,="01.0607","Turf and Turfgrass Management."
="01.0608","Floriculture/Floristry Operations and Management.","No substantive changes",no,="01.0608","Floriculture/Floristry Operations and Management."
"","","New",no,="01.0609","Public Horticulture."
"","","New",no,="01.0610","Urban and Community Horticulture."
"","","New",no,="01.0680","Reserved."
="01.0699","Applied Horticulture/Horticultural Business Services, Other.","No substantive changes",no,="01.0699","Applied Horticulture/Horticultural Business Services, Other."
="01.07","International Agriculture.","No substantive changes",no,="01.07","International Agriculture."
="01.0701","International Agriculture.","No substantive changes",no,="01.0701","International Agriculture."
="01.08","Agricultural Public Services.","No substantive changes",no,="01.08","Agricultural Public Services."
="01.0801","Agricultural and Extension Education Services.","No substantive changes",no,="01.0801","Agricultural and Extension Education Services."
="01.0802","Agricultural Communication/Journalism.","No substantive changes",no,="01.0802","Agricultural Communication/Journalism."
="01.0899","Agricultural Public Services, Other.","No substantive changes",no,="01.0899","Agricultural Public Services, Other."
="01.09","Animal Sciences.","No substantive changes",no,="01.09","Animal Sciences."
="01.0901","Animal Sciences, General.","No substantive changes",no,="01.0901","Animal Sciences, General."
="01.0902","Agricultural Animal Breeding.","No substantive changes",no,="01.0902","Agricultural Animal Breeding."
="01.0903","Animal Health.","No substantive changes",no,="01.0903","Animal Health."
="01.0904","Animal Nutrition.","No substantive changes",no,="01.0904","Animal Nutrition."
="01.0905","Dairy Science.","No substantive changes",no,="01.0905","Dairy Science."
="01.0906","Livestock Management.","No substantive changes",no,="01.0906","Livestock Management."
="01.0907","Poultry Science.","No substantive changes",no,="01.0907","Poultry Science."
="01.0999","Animal Sciences, Other.","No substantive changes",no,="01.0999","Animal Sciences, Other."
="01.10","Food Science and Technology.","No substantive changes",no,="01.10","Food Science and Technology."
="01.1001","Food Science.","No substantive changes",no,="01.1001","Food Science."
="01.1002","Food Technology and Processing.","No substantive changes",no,="01.1002","Food Technology and Processing."
"","","New",no,="01.1003","Brewing Science."
"","","New",no,="01.1005","Zymology/Fermentation Science."
="01.1099","Food Science and Technology, Other.","No substantive changes",no,="01.1099","Food Science and Technology, Other."
="01.11","Plant Sciences.","No substantive changes",no,="01.11","Plant Sciences."
="01.1101","Plant Sciences, General.","No substantive changes",no,="01.1101","Plant Sciences, General."
="01.1102","Agronomy and Crop Science.","No substantive changes",no,="01.1102","Agronomy and Crop Science."
="01.1103","Horticultural Science.","No substantive changes",no,="01.1103","Horticultural Science."
="01.1104","Agricultural and Horticultural Plant Breeding.","No substantive changes",no,="01.1104","Agricultural and Horticultural Plant Breeding."
="01.1105","Plant Protection and Integrated Pest Management.","No substantive changes",no,="01.1105","Plant Protection and Integrated Pest Management."
="01.1106","Range Science and Management.","No substantive changes",no,="01.1106","Range Science and Management."
"","","New",no,="01.1180","Reserved."
="01.1199","Plant Sciences, Other.","No substantive changes",no,="01.1199","Plant Sciences, Other."
="01.12","Soil Sciences.","No substantive changes",no,="01.12","Soil Sciences."
="01.1201","Soil Science and Agronomy, General.","No substantive changes",no,="01.1201","Soil Science and Agronomy, General."
="01.1202","Soil Chemistry and Physics.","No substantive changes",no,="01.1202","Soil Chemistry and Physics."
="01.1203","Soil Microbiology.","No substantive changes",no,="01.1203","Soil Microbiology."
="01.1299","Soil Sciences, Other.","No substantive changes",no,="01.1299","Soil Sciences, Other."
"","","New",no,="01.13","Agriculture/Veterinary Preparatory Programs."
"","","New",no,="01.1399","Agriculture/Veterinary Preparatory Programs, Other."
"","","New",no,="01.82","Veterinary Administrative Services."
"","","New",no,="01.8201","Veterinary Administrative Services, General."
"","","New",no,="01.8202","Veterinary Office Management/Administration."
"","","New",no,="01.8203","Veterinary Reception/Receptionist."
"","","New",no,="01.8204","Veterinary Administrative/Executive Assistant and Veterinary Secretary."
"","","New",no,="01.8299","Veterinary Administrative Services, Other."
"","","New",no,="01.83","Veterinary/Animal Health Technologies/Technicians."
"","","New",no,="01.8399","Veterinary/Animal Health Technologies/Technicians, Other."
="01.99","Agriculture, Agriculture Operations, and Related Sciences, Other.","No substantive changes",yes,="01.99","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other."
="01.9999","Agriculture, Agriculture Operations, and Related Sciences, Other.","No substantive changes",yes,="01.9999","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other."
="03","NATURAL RESOURCES AND CONSERVATION.","No substantive changes",no,="03","NATURAL RESOURCES AND CONSERVATION."
="03.01","Natural Resources Conservation and Research.","No substantive changes",no,="03.01","Natural Resources Conservation and Research."
="03.0101","Natural Resources/Conservation, General.","No substantive changes",no,="03.0101","Natural Resources/Conservation, General."
="03.0103","Environmental Studies.","No substantive changes",no,="03.0103","Environmental Studies."
="03.0104","Environmental Science.","No substantive changes",no,="03.0104","Environmental Science."
="03.0199","Natural Resources Conservation and Research, Other.","No substantive changes",no,="03.0199","Natural Resources Conservation and Research, Other."
="03.02","Natural Resources Management and Policy.","No substantive changes",yes,="03.02","Environmental/Natural Resources Management and Policy."
="03.0201","Natural Resources Management and Policy.","No substantive changes",yes,="03.0201","Environmental/Natural Resources Management and Policy, General."
="03.0204","Natural Resource Economics.","No substantive changes",yes,="03.0204","Environmental/Natural Resource Economics."
="03.0205","Water, Wetlands, and Marine Resources Management.","No substantive changes",no,="03.0205","Water, Wetlands, and Marine Resources Management."
="03.0206","Land Use Planning and Management/Development.","No substantive changes",no,="03.0206","Land Use Planning and Management/Development."
="03.0207","Natural Resource Recreation and Tourism.","No substantive changes",yes,="03.0207","Environmental/Natural Resource Recreation and Tourism."
="03.0208","Natural Resources Law Enforcement and Protective Services.","No substantive changes",yes,="03.0208","Environmental/Natural Resources Law Enforcement and Protective Services."
"","","New",no,="03.0209","Energy and Environmental Policy."
"","","New",no,="03.0210","Bioenergy."
="03.0299","Natural Resources Management and Policy, Other.","No substantive changes",yes,="03.0299","Environmental/Natural Resources Management and Policy, Other."
="03.03","Fishing and Fisheries Sciences and Management.","No substantive changes",no,="03.03","Fishing and Fisheries Sciences and Management."
="03.0301","Fishing and Fisheries Sciences and Management.","No substantive changes",no,="03.0301","Fishing and Fisheries Sciences and Management."
="03.05","Forestry.","No substantive changes",no,="03.05","Forestry."
="03.0501","Forestry, General.","No substantive changes",no,="03.0501","Forestry, General."
="03.0502","Forest Sciences and Biology.","No substantive changes",no,="03.0502","Forest Sciences and Biology."
="03.0506","Forest Management/Forest Resources Management.","No substantive changes",no,="03.0506","Forest Management/Forest Resources Management."
="03.0508","Urban Forestry.","No substantive changes",no,="03.0508","Urban Forestry."
="03.0509","Wood Science and Wood Products/Pulp and Paper Technology.","No substantive changes",yes,="03.0509","Wood Science and Wood Products/Pulp and Paper Technology/Technician."
="03.0510","Forest Resources Production and Management.","No substantive changes",no,="03.0510","Forest Resources Production and Management."
="03.0511","Forest Technology/Technician.","No substantive changes",no,="03.0511","Forest Technology/Technician."
="03.0599","Forestry, Other.","No substantive changes",no,="03.0599","Forestry, Other."
="03.06","Wildlife and Wildlands Science and Management.","No substantive changes",no,="03.06","Wildlife and Wildlands Science and Management."
="03.0601","Wildlife, Fish and Wildlands Science and Management.","No substantive changes",no,="03.0601","Wildlife, Fish and Wildlands Science and Management."
="03.99","Natural Resources and Conservation, Other.","No substantive changes",no,="03.99","Natural Resources and Conservation, Other."
="03.9999","Natural Resources and Conservation, Other.","No substantive changes",no,="03.9999","Natural Resources and Conservation, Other."
="04","ARCHITECTURE AND RELATED SERVICES.","No substantive changes",no,="04","ARCHITECTURE AND RELATED SERVICES."
="04.02","Architecture.","No substantive changes",no,="04.02","Architecture."
"","","New",no,="04.0200","Pre-Architecture Studies."
="04.0201","Architecture.","No substantive changes",no,="04.0201","Architecture."
"","","New",no,="04.0202","Architectural Design."
"","","New",no,="04.0299","Architecture, Other."
="04.03","City/Urban, Community and Regional Planning.","No substantive changes",no,="04.03","City/Urban, Community, and Regional Planning."
="04.0301","City/Urban, Community and Regional Planning.","No substantive changes",no,="04.0301","City/Urban, Community, and Regional Planning."
="04.04","Environmental Design.","No substantive changes",no,="04.04","Environmental Design."
="04.0401","Environmental Design/Architecture.","No substantive changes",no,="04.0401","Environmental Design/Architecture."
"","","New",no,="04.0402","Healthcare Environment Design/Architecture."
"","","New",no,="04.0403","Sustainable Design/Architecture."
"","","New",no,="04.0499","Environmental Design, Other."
="04.05","Interior Architecture.","No substantive changes",no,="04.05","Interior Architecture."
="04.0501","Interior Architecture.","No substantive changes",no,="04.0501","Interior Architecture."
="04.06","Landscape Architecture.","No substantive changes",no,="04.06","Landscape Architecture."
="04.0601","Landscape Architecture.","No substantive changes",no,="04.0601","Landscape Architecture."
="04.08","Architectural History and Criticism.","No substantive changes",yes,="04.08","Architectural History, Criticism, and Conservation."
="04.0801","Architectural History and Criticism, General.","No substantive changes",no,="04.0801","Architectural History and Criticism, General."
"","","New",no,="04.0802","Architectural Conservation."
"","","New",no,="04.0803","Architectural Studies."
"","","New",no,="04.0899","Architectural History, Criticism, and Conservation, Other."
="04.09","Architectural Sciences and Technology.","No substantive changes",no,="04.09","Architectural Sciences and Technology."
="04.0901","Architectural Technology/Technician.","No substantive changes",no,="04.0901","Architectural Technology/Technician."
="04.0902","Architectural and Building Sciences/Technology.","No substantive changes",no,="04.0902","Architectural and Building Sciences/Technology."
="04.0999","Architectural Sciences and Technology, Other.","No substantive changes",no,="04.0999","Architectural Sciences and Technology, Other."
="04.10","Real Estate Development.","No substantive changes",no,="04.10","Real Estate Development."
="04.1001","Real Estate Development.","No substantive changes",no,="04.1001","Real Estate Development."
="04.99","Architecture and Related Services, Other.","No substantive changes",no,="04.99","Architecture and Related Services, Other."
="04.9999","Architecture and Related Services, Other.","No substantive changes",no,="04.9999","Architecture and Related Services, Other."
="05","AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.","No substantive changes",no,="05","AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
="05.01","Area Studies.","No substantive changes",no,="05.01","Area Studies."
="05.0101","African Studies.","No substantive changes",no,="05.0101","African Studies."
="05.0102","American/United States Studies/Civilization.","No substantive changes",no,="05.0102","American/United States Studies/Civilization."
="05.0103","Asian Studies/Civilization.","No substantive changes",no,="05.0103","Asian Studies/Civilization."
="05.0104","East Asian Studies.","No substantive changes",no,="05.0104","East Asian Studies."
="05.0105","Russian, Central European, East European and Eurasian Studies.","No substantive changes",no,="05.0105","Russian, Central European, East European and Eurasian Studies."
="05.0106","European Studies/Civilization.","No substantive changes",no,="05.0106","European Studies/Civilization."
="05.0107","Latin American Studies.","No substantive changes",no,="05.0107","Latin American Studies."
="05.0108","Near and Middle Eastern Studies.","No substantive changes",no,="05.0108","Near and Middle Eastern Studies."
="05.0109","Pacific Area/Pacific Rim Studies.","No substantive changes",no,="05.0109","Pacific Area/Pacific Rim Studies."
="05.0110","Russian Studies.","No substantive changes",no,="05.0110","Russian Studies."
="05.0111","Scandinavian Studies.","No substantive changes",yes,="05.0111","Scandinavian Studies."
="05.0112","South Asian Studies.","No substantive changes",no,="05.0112","South Asian Studies."
="05.0113","Southeast Asian Studies.","No substantive changes",no,="05.0113","Southeast Asian Studies."
="05.0114","Western European Studies.","No substantive changes",no,="05.0114","Western European Studies."
="05.0115","Canadian Studies.","No substantive changes",no,="05.0115","Canadian Studies."
="05.0116","Balkans Studies.","No substantive changes",no,="05.0116","Balkans Studies."
="05.0117","Baltic Studies.","No substantive changes",no,="05.0117","Baltic Studies."
="05.0118","Slavic Studies.","No substantive changes",no,="05.0118","Slavic Studies."
="05.0119","Caribbean Studies.","No substantive changes",no,="05.0119","Caribbean Studies."
="05.0120","Ural-Altaic and Central Asian Studies.","No substantive changes",no,="05.0120","Ural-Altaic and Central Asian Studies."
="05.0121","Commonwealth Studies.","No substantive changes",no,="05.0121","Commonwealth Studies."
="05.0122","Regional Studies (U.S., Canadian, Foreign)","No substantive changes",yes,="05.0122","Regional Studies (U.S., Canadian, Foreign)."
="05.0123","Chinese Studies.","No substantive changes",no,="05.0123","Chinese Studies."
="05.0124","French Studies.","No substantive changes",no,="05.0124","French Studies."
="05.0125","German Studies.","No substantive changes",no,="05.0125","German Studies."
="05.0126","Italian Studies.","No substantive changes",no,="05.0126","Italian Studies."
="05.0127","Japanese Studies.","No substantive changes",no,="05.0127","Japanese Studies."
="05.0128","Korean Studies.","No substantive changes",no,="05.0128","Korean Studies."
="05.0129","Polish Studies.","No substantive changes",no,="05.0129","Polish Studies."
="05.0130","Spanish and Iberian Studies.","No substantive changes",no,="05.0130","Spanish and Iberian Studies."
="05.0131","Tibetan Studies.","No substantive changes",no,="05.0131","Tibetan Studies."
="05.0132","Ukraine Studies.","No substantive changes",no,="05.0132","Ukraine Studies."
="05.0133","Irish Studies.","No substantive changes",no,="05.0133","Irish Studies."
="05.0134","Latin American and Caribbean Studies.","No substantive changes",no,="05.0134","Latin American and Caribbean Studies."
"","","New",no,="05.0135","Appalachian Studies."
"","","New",no,="05.0136","Arctic Studies."
="05.0199","Area Studies, Other.","No substantive changes",no,="05.0199","Area Studies, Other."
="05.02","Ethnic, Cultural Minority, Gender, and Group Studies.","No substantive changes",no,="05.02","Ethnic, Cultural Minority, Gender, and Group Studies."
="05.0200","Ethnic Studies.","No substantive changes",no,="05.0200","Ethnic Studies."
="05.0201","African-American/Black Studies.","No substantive changes",no,="05.0201","African-American/Black Studies."
="05.0202","American Indian/Native American Studies.","No substantive changes",no,="05.0202","American Indian/Native American Studies."
="05.0203","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.","No substantive changes",no,="05.0203","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
="05.0206","Asian-American Studies.","No substantive changes",no,="05.0206","Asian-American Studies."
="05.0207","Women's Studies.","No substantive changes",no,="05.0207","Women's Studies."
="05.0208","Gay/Lesbian Studies.","No substantive changes",no,="05.0208","Gay/Lesbian Studies."
="05.0209","Folklore Studies.","No substantive changes",no,="05.0209","Folklore Studies."
="05.0210","Disability Studies.","No substantive changes",no,="05.0210","Disability Studies."
="05.0211","Deaf Studies.","No substantive changes",no,="05.0211","Deaf Studies."
"","","New",no,="05.0212","Comparative Group Studies."
="05.0299","Ethnic, Cultural Minority, Gender, and Group Studies, Other.","No substantive changes",no,="05.0299","Ethnic, Cultural Minority, Gender, and Group Studies, Other."
"","","New",no,="05.99","Area, Ethnic, Cultural, Gender, and Group Studies, Other."
"","","New",no,="05.9999","Area, Ethnic, Cultural, Gender, and Group Studies, Other."
="09","COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.","No substantive changes",no,="09","COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
="09.01","Communication and Media Studies.","No substantive changes",no,="09.01","Communication and Media Studies."
="09.0100","Communication, General.","No substantive changes",no,="09.0100","Communication, General."
="09.0101","Speech Communication and Rhetoric.","No substantive changes",no,="09.0101","Speech Communication and Rhetoric."
="09.0102","Mass Communication/Media Studies.","No substantive changes",no,="09.0102","Mass Communication/Media Studies."
="09.0199","Communication and Media Studies, Other.","No substantive changes",no,="09.0199","Communication and Media Studies, Other."
="09.04","Journalism.","No substantive changes",no,="09.04","Journalism."
="09.0401","Journalism.","No substantive changes",no,="09.0401","Journalism."
="09.0402","Broadcast Journalism.","No substantive changes",no,="09.0402","Broadcast Journalism."
="09.0404","Photojournalism.","No substantive changes",no,="09.0404","Photojournalism."
"","","New",no,="09.0405","Business and Economic Journalism."
"","","New",no,="09.0406","Cultural Journalism."
"","","New",no,="09.0407","Science/Health/Environmental Journalism."
="09.0499","Journalism, Other.","No substantive changes",no,="09.0499","Journalism, Other."
="09.07","Radio, Television, and Digital Communication.","No substantive changes",no,="09.07","Radio, Television, and Digital Communication."
="09.0701","Radio and Television.","No substantive changes",no,="09.0701","Radio and Television."
="09.0702","Digital Communication and Media/Multimedia.","No substantive changes",no,="09.0702","Digital Communication and Media/Multimedia."
="09.0799","Radio, Television, and Digital Communication, Other.","No substantive changes",no,="09.0799","Radio, Television, and Digital Communication, Other."
="09.09","Public Relations, Advertising, and Applied Communication.","No substantive changes",no,="09.09","Public Relations, Advertising, and Applied Communication."
="09.0900","Public Relations, Advertising, and Applied Communication.","No substantive changes",no,="09.0900","Public Relations, Advertising, and Applied Communication."
="09.0901","Organizational Communication, General.","No substantive changes",no,="09.0901","Organizational Communication, General."
="09.0902","Public Relations/Image Management.","No substantive changes",no,="09.0902","Public Relations/Image Management."
="09.0903","Advertising.","No substantive changes",no,="09.0903","Advertising."
="09.0904","Political Communication.","No substantive changes",no,="09.0904","Political Communication."
="09.0905","Health Communication.","No substantive changes",no,="09.0905","Health Communication."
="09.0906","Sports Communication.","No substantive changes",no,="09.0906","Sports Communication."
="09.0907","International and Intercultural Communication.","No substantive changes",no,="09.0907","International and Intercultural Communication."
="09.0908","Technical and Scientific Communication.","No substantive changes",no,="09.0908","Technical and Scientific Communication."
"","","New",no,="09.0909","Communication Management and Strategic Communications."
="09.0999","Public Relations, Advertising, and Applied Communication, Other","No substantive changes",no,="09.0999","Public Relations, Advertising, and Applied Communication, Other."
="09.10","Publishing.","No substantive changes",no,="09.10","Publishing."
="09.1001","Publishing.","No substantive changes",no,="09.1001","Publishing."
="09.99","Communication, Journalism, and Related Programs, Other.","No substantive changes",no,="09.99","Communication, Journalism, and Related Programs, Other."
="09.9999","Communication, Journalism, and Related Programs, Other.","No substantive changes",no,="09.9999","Communication, Journalism, and Related Programs, Other."
="10","COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.","No substantive changes",no,="10","COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES."
="10.01","Communications Technology/Technician.","No substantive changes",yes,="10.01","Communications Technologies/Technicians."
="10.0105","Communications Technology/Technician.","No substantive changes",no,="10.0105","Communications Technology/Technician."
="10.02","Audiovisual Communications Technologies/Technicians.","No substantive changes",yes,="10.02","Audiovisual Communications Technologies/Technicians."
="10.0201","Photographic and Film/Video Technology/Technician and Assistant.","No substantive changes",yes,="10.0201","Photographic and Film/Video Technology/Technician."
="10.0202","Radio and Television Broadcasting Technology/Technician.","No substantive changes",yes,="10.0202","Radio and Television Broadcasting Technology/Technician."
="10.0203","Recording Arts Technology/Technician.","No substantive changes",yes,="10.0203","Recording Arts Technology/Technician."
"","","New",no,="10.0204","Voice Writing Technology/Technician."
="10.0299","Audiovisual Communications Technologies/Technicians, Other.","No substantive changes",yes,="10.0299","Audiovisual Communications Technologies/Technicians, Other."
="10.03","Graphic Communications.","No substantive changes",no,="10.03","Graphic Communications."
="10.0301","Graphic Communications, General.","No substantive changes",no,="10.0301","Graphic Communications, General."
="10.0302","Printing Management.","No substantive changes",no,="10.0302","Printing Management."
="10.0303","Prepress/Desktop Publishing and Digital Imaging Design.","No substantive changes",no,="10.0303","Prepress/Desktop Publishing and Digital Imaging Design."
="10.0304","Animation, Interactive Technology, Video Graphics and Special Effects.","No substantive changes",no,="10.0304","Animation, Interactive Technology, Video Graphics, and Special Effects."
="10.0305","Graphic and Printing Equipment Operator, General Production.","No substantive changes",no,="10.0305","Graphic and Printing Equipment Operator, General Production."
="10.0306","Platemaker/Imager.","No substantive changes",no,="10.0306","Platemaker/Imager."
="10.0307","Printing Press Operator.","No substantive changes",no,="10.0307","Printing Press Operator."
="10.0308","Computer Typography and Composition Equipment Operator.","No substantive changes",no,="10.0308","Computer Typography and Composition Equipment Operator."
="10.0399","Graphic Communications, Other.","No substantive changes",no,="10.0399","Graphic Communications, Other."
="10.99","Communications Technologies/Technicians and Support Services, Other.","No substantive changes",no,="10.99","Communications Technologies/Technicians and Support Services, Other."
="10.9999","Communications Technologies/Technicians and Support Services, Other.","No substantive changes",no,="10.9999","Communications Technologies/Technicians and Support Services, Other."
="11","COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","No substantive changes",no,="11","COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES."
="11.01","Computer and Information Sciences, General.","No substantive changes",no,="11.01","Computer and Information Sciences, General."
="11.0101","Computer and Information Sciences, General.","No substantive changes",no,="11.0101","Computer and Information Sciences, General."
="11.0102","Artificial Intelligence.","No substantive changes",no,="11.0102","Artificial Intelligence."
="11.0103","Information Technology.","No substantive changes",no,="11.0103","Information Technology."
="11.0104","Informatics.","No substantive changes",no,="11.0104","Informatics."
"","","New",no,="11.0105","Human-Centered Technology Design."
="11.0199","Computer and Information Sciences,  Other.","No substantive changes",no,="11.0199","Computer and Information Sciences,  Other."
="11.02","Computer Programming.","No substantive changes",no,="11.02","Computer Programming."
="11.0201","Computer Programming/Programmer, General.","No substantive changes",no,="11.0201","Computer Programming/Programmer, General."
="11.0202","Computer Programming, Specific Applications.","No substantive changes",no,="11.0202","Computer Programming, Specific Applications."
="11.0203","Computer Programming, Vendor/Product Certification.","No substantive changes",no,="11.0203","Computer Programming, Vendor/Product Certification."
"","","New",no,="11.0204","Computer Game Programming."
"","","New",no,="11.0205","Computer Programming, Specific Platforms."
="11.0299","Computer Programming, Other.","No substantive changes",no,="11.0299","Computer Programming, Other."
="11.03","Data Processing.","No substantive changes",no,="11.03","Data Processing."
="11.0301","Data Processing and Data Processing Technology/Technician.","No substantive changes",no,="11.0301","Data Processing and Data Processing Technology/Technician."
="11.04","Information Science/Studies.","No substantive changes",no,="11.04","Information Science/Studies."
="11.0401","Information Science/Studies.","No substantive changes",no,="11.0401","Information Science/Studies."
="11.05","Computer Systems Analysis.","No substantive changes",no,="11.05","Computer Systems Analysis."
="11.0501","Computer Systems Analysis/Analyst.","No substantive changes",no,="11.0501","Computer Systems Analysis/Analyst."
="11.06","Data Entry/Microcomputer Applications.","No substantive changes",no,="11.06","Data Entry/Microcomputer Applications."
="11.0601","Data Entry/Microcomputer Applications, General.","No substantive changes",no,="11.0601","Data Entry/Microcomputer Applications, General."
="11.0602","Word Processing.","No substantive changes",no,="11.0602","Word Processing."
="11.0699","Data Entry/Microcomputer Applications, Other.","No substantive changes",no,="11.0699","Data Entry/Microcomputer Applications, Other."
="11.07","Computer Science.","No substantive changes",no,="11.07","Computer Science."
="11.0701","Computer Science.","No substantive changes",no,="11.0701","Computer Science."
="11.08","Computer Software and Media Applications.","No substantive changes",no,="11.08","Computer Software and Media Applications."
="11.0801","Web Page, Digital/Multimedia and Information Resources Design.","No substantive changes",yes,="11.0801","Web Page, Digital/Multimedia and Information Resources Design."
="11.0802","Data Modeling/Warehousing and Database Administration.","No substantive changes",no,="11.0802","Data Modeling/Warehousing and Database Administration."
="11.0803","Computer Graphics.","No substantive changes",no,="11.0803","Computer Graphics."
="11.0804","Modeling, Virtual Environments and Simulation.","No substantive changes",no,="11.0804","Modeling, Virtual Environments and Simulation."
="11.0899","Computer Software and Media Applications, Other.","No substantive changes",no,="11.0899","Computer Software and Media Applications, Other."
="11.09","Computer Systems Networking and Telecommunications.","No substantive changes",no,="11.09","Computer Systems Networking and Telecommunications."
="11.0901","Computer Systems Networking and Telecommunications.","No substantive changes",no,="11.0901","Computer Systems Networking and Telecommunications."
"","","New",no,="11.0902","Cloud Computing."
"","","New",no,="11.0999","Computer Systems Networking and Telecommunications, Other."
="11.10","Computer/Information Technology Administration and Management.","No substantive changes",no,="11.10","Computer/Information Technology Administration and Management."
="11.1001","Network and System Administration/Administrator.","No substantive changes",no,="11.1001","Network and System Administration/Administrator."
